Movie;Director;Running time;Actor 1;Actor 2;Actor 3;Genre;Budget;Box Office;Release year
House of Sand and Fog;Vadim Perelman;126;Frances Fisher;Kim Dickens;Ron Eldard;Drama;15000000;22000000;2003
Raising Victor Vargas;Peter Sollett;88;Victor Rasuk;Melonie Diaz;Judy Marte;Drama;800000;2000000;2002
Stomp the Yard;Sylvain White;109;Chris Brown;Laz Alonso;Harry Lennix;Drama;14000000;75000000;2007
The Hitchhiker's Guide to the Galaxy;Garth Jennings;109;Zooey Deschanel;Kelly Macdonald;Thomas Lennon;Adventure;50000000;104000000;2005
The Wild Thornberrys Movie;Cathy Malkasian;85;Alfre Woodard;Flea;Cree Summer;Animation;25000000;60700000;2002
The World's End;Edgar Wright;109;Michael Smiley;Thomas Law;Jasper Levine;Action;20000000;46000000;2013
Flash of Genius;Marc Abraham;119;Dylan Authors;Bill Lake;Victoria Learn;Biography;20000000;4200000;2008
Nomad: The Warrior;Sergey Bodrov;112;Jay Hernandez;Kuno Becker;Jason Scott Lee;Drama;25000000;13000000;2005
Source Code;Duncan Jones;93;Jake Gyllenhaal;Cas Anvar;Russell Peters;Mystery;32000000;147000000;2011
The Day After Tomorrow;Roland Emmerich;124;Jake Gyllenhaal;Dennis Quaid;Sela Ward;Action;125000000;544000000;2004
Flags of Our Fathers;Clint Eastwood;135;Paul Walker;Chris Bauer;Tom McCarthy;Drama;90000000;65400000;2006
The Scorpion King;Chuck Russell;100;Dwayne Johnson;Roger Rees;Bernard Hill;Action;60000000;165000000;2002
Baby Mama;Michael McCullers;99;Tina Fey;Amy Poehler;Romany Malco;Comedy;30000000;60000000;2008
Requiem for a Dream;Darren Aronofsky;102;Ellen Burstyn;Mark Margolis;Louise Lasser;Drama;4500000;7300000;2000
Whatever Works;Woody Allen;92;Larry David;Michael McKean;Conleth Hill;Comedy;15000000;35000000;2009
Ondine;Neil Jordan;111;Tony Curran;Stephen Rea;Alicja Bachleda;Drama;12000000;12000000;2009
Ripley's Game;Liliana Cavani;110;Ray Winstone;Dougray Scott;Chiara Caselli;Crime;30000000;2000000;2002
Me and You and Everyone We Know;Miranda July;91;Najarra Townsend;Brad William Henke;Miranda July;Comedy;2000000;4000000;2005
Return to Never Land;Robin Budd;72;Roger Rees;Rob Paulsen;Spencer Breslin;Animation;20000000;110000000;2002
Short Cut to Nirvana: Kumbh Mela;Maurizio Benazzo;85;The Dalai Lama;Jasper Johal;Swami Krishnanad;Documentary;200000;1000000;2004
X-Men: First Class;Matthew Vaughn;132;Jennifer Lawrence;Michael Fassbender;Oliver Platt;Action;160000000;354000000;2011
Grabbers;Jon Wright;94;Russell Tovey;Richard Coyle;Bronagh Gallagher;Comedy;4000000;440000;2012
Jersey Girl;Kevin Smith;102;Stephen Root;Mike Starr;George Carlin;Comedy;35000000;40000000;2004
Kiss of the Dragon;Chris Nahon;98;Jet Li;Bridget Fonda;Max Ryan;Action;25000000;64000000;2001
Saving Mr. Banks;John Lee Hancock;125;Tom Hanks;Ruth Wilson;B.J. Novak;Biography;35000000;83000000;2013
Zodiac;David Fincher;162;Robert Downey Jr.;Jake Gyllenhaal;Anthony Edwards;Crime;65000000;85000000;2007
Hotel Transylvania 2;Genndy Tartakovsky;89;Steve Buscemi;Adam Sandler;Fran Drescher;Animation;80000000;474000000;2015
Bullet to the Head;Walter Hill;92;Sylvester Stallone;Jason Momoa;Jon Seda;Action;55000000;48000000;2012
Haywire;Steven Soderbergh;93;Channing Tatum;Michael Fassbender;Michael Angarano;Action;23000000;34000000;2011
Moneyball;Bennett Miller;133;Philip Seymour Hoffman;Robin Wright;Brad Pitt;Biography;50000000;110000000;2011
Vamps;Amy Heckerling;92;Taylor Negron;Justin Kirk;Ivan Sergei;Comedy;16000000;1000000;2012
Big Eyes;Tim Burton;106;Christoph Waltz;Danny Huston;Jon Polito;Biography;10000000;29300000;2014
Inside Out;Pete Docter;95;Amy Poehler;Mindy Kaling;Phyllis Smith;Animation;175000000;858000000;2015
Pooh's Heffalump Movie;Frank Nissen;68;Kath Soucie;Brenda Blethyn;John Fiedler;Animation;20000000;18000000;2005
Take Shelter;Jeff Nichols;121;Katy Mixon;Shea Whigham;Robert Longstreet;Thriller;5000000;3000000;2011
Triangle;Christopher Smith;99;Rachael Carpani;Michael Dorman;Emma Lung;Horror;12000000;1500000;2009
Diary of a Wimpy Kid: Dog Days;David Bowers;94;Zachary Gordon;Rachael Harris;Karan Brar;Comedy;22000000;77000000;2012
Final Destination 3;James Wong;86;Chelan Simmons;Gina Holden;Crystal Lowe;Horror;25000000;117000000;2006
Joy Ride;John Dahl;97;Paul Walker;Jessica Bowman;Dell Yount;Mystery;23000000;22000000;2001
Our Brand Is Crisis;David Gordon Green;107;Dominic Flores;Zoe Kazan;Scoot McNairy;Comedy;28000000;8000000;2015
Over the Hedge;Tim Johnson;83;Bruce Willis;Steve Carell;Catherine O'Hara;Animation;80000000;336000000;2006
Saw V;David Hackl;95;Julie Benz;Costas Mandylor;Scott Patterson;Horror;10800000;140000000;2008
Alone with Her;Eric Nicholas;78;Jordana Spiro;Ana Claudia Talancón;Jonathon Trent;Crime;1000000;5000000;2006
Joyeux Noel;Christian Carion;116;Gary Lewis;Dany Boon;Ian Richardson;Drama;22000000;17000000;2005
Space Chimps;Kirk De Micco;81;Cheryl Hines;Kenan Thompson;Omid Abtahi;Animation;37000000;65000000;2008
The Last Legion;Doug Lefler;102;Colin Firth;Nonso Anozie;Owen Teale;Action;35000000;20000000;2007
The Odd Life of Timothy Green;Peter Hedges;105;Jennifer Garner;Odeya Rush;Common;Comedy;25000000;56400000;2012
Captain Corelli's Mandolin;John Madden;131;Christian Bale;Irene Papas;Mihalis Giannatos;Drama;57000000;60000000;2001
Ella Enchanted;Tommy O'Haver;96;Anne Hathaway;Steve Coogan;Joanna Lumley;Comedy;35000000;27000000;2004
Ice Age: Continental Drift;Steve Martino;88;Peter Dinklage;Josh Gad;Drake;Animation;95000000;877000000;2012
Philomena;Stephen Frears;98;Steve Coogan;Mare Winningham;Peter Hermann;Biography;12000000;100000000;2013
Sharknado;Anthony C. Ferrante;97;Ian Ziering;John Heard;Cassandra Scerbo;Horror;1000000;3000000;2013
2046;Kar-Wai Wong;129;Li Gong;Tony Chiu Wai Leung;Maggie Cheung;Drama;12000000;123000000;2004
The Animal;Luke Greenfield;84;Louis Lombardi;Michael Papajohn;Colleen Haskell;Comedy;22000000;85000000;2001
Who Killed the Electric Car?;Chris Paine;92;Ed Begley Jr.;Phyllis Diller;Colette Divine;Documentary;1000000;2000000;2006
After the Sunset;Brett Ratner;97;Salma Hayek;Don Cheadle;Chris Penn;Action;58000000;50000000;2004
The Fourth Kind;Olatunde Osunsanmi;98;Milla Jovovich;Will Patton;Hakeem Kae-Kazim;Mystery;10000000;47000000;2009
The Marine 4: Moving Target;William Kaufman;90;Paul McGillion;Mike 'The Miz' Mizanin;David Lewis;Action;1950000;2000000;2015
Ocean's Eleven;Steven Soderbergh;116;Brad Pitt;Bernie Mac;Elliott Gould;Crime;85000000;451000000;2001
A Good Year;Ridley Scott;117;Archie Panjabi;Albert Finney;Richard Coyle;Comedy;35000000;43000000;2006
As It Is in Heaven;Kay Pollak;133;Michael Nyqvist;Frida Hallgren;Nils-Anders Vallgårda;Comedy;25000000;60700000;2004
Fear Clinic;Robert Hall;95;Angelina Armani;Kevin Gage;Fiona Dourif;Horror;1000000;21000000;2015
The Death and Life of Bobby Z;John Herzfeld;97;Paul Walker;Olivia Wilde;Jason Flemyng;Action;22000000;24000000;2007
Get Rich or Die Tryin';Jim Sheridan;117;50 Cent;Bill Duke;Marc John Jefferies;Biography;40000000;46000000;2005
Lady in the Water;M. Night Shyamalan;110;Bryce Dallas Howard;Freddy Rodríguez;Bob Balaban;Drama;70000000;72000000;2006
Novocaine;David Atkins;95;Chelcie Ross;Lynne Thigpen;Polly Noonan;Comedy;6000000;2400000;2001
Rush;Ron Howard;123;Chris Hemsworth;Olivia Wilde;Alexandra Maria Lara;Action;38000000;98000000;2013
The Dangerous Lives of Altar Boys;Peter Care;104;Kieran Culkin;Michael Harding;Jake Richardson;Comedy;12000000;2000000;2002
America's Sweethearts;Joe Roth;102;Julia Roberts;Rainn Wilson;Larry King;Comedy;48000000;93100000;2001
The 6th Day;Roger Spottiswoode;123;Robert Duvall;Michael Rapaport;Tony Goldwyn;Action;82000000;96000000;2000
The Emperor's New Groove;Mark Dindal;78;Eartha Kitt;Wendie Malick;John Fiedler;Animation;100000000;169000000;2000
Hachi: A Dog's Tale;Lasse Hallström;93;Cary-Hiroyuki Tagawa;Sarah Roemer;Joan Allen;Drama;16000000;46000000;2009
Madagascar 3: Europe's Most Wanted;Eric Darnell;93;Jada Pinkett Smith;Martin Short;Cedric the Entertainer;Animation;145000000;746000000;2012
Raising Helen;Garry Marshall;119;Amber Valletta;Felicity Huffman;Spencer Breslin;Comedy;50000000;49700000;2004
The Aviator;Martin Scorsese;170;Leonardo DiCaprio;Adam Scott;Frances Conroy;Biography;110000000;213000000;2004
Rubber;Quentin Dupieux;82;Haley Ramm;Jack Plotnick;Cecelia Antoinette;Comedy;500000;1000000;2010
The SpongeBob SquarePants Movie;Stephen Hillenburg;87;Scarlett Johansson;Bill Fagerbakke;Rodger Bumpass;Animation;30000000;140000000;2004
It's Complicated;Nancy Meyers;120;Meryl Streep;Hunter Parrish;Zoe Kazan;Comedy;85000000;219000000;2009
The Book of Eli;Albert Hughes;118;Denzel Washington;Mila Kunis;Gary Oldman;Action;80000000;157000000;2010
Kit Kittredge: An American Girl;Patricia Rozema;101;Julia Ormond;Jane Krakowski;Willow Smith;Drama;10000000;17000000;2008
The Informant!;Steven Soderbergh;108;Matt Damon;Joel McHale;Thomas F. Wilson;Comedy;21000000;41000000;2009
Where the Truth Lies;Atom Egoyan;107;Colin Firth;Alison Lohman;Rachel Blanchard;Crime;25000000;3500000;2005
Charlie and the Chocolate Factory;Tim Burton;115;Johnny Depp;Christopher Lee;David Kelly;Adventure;150000000;475000000;2005
Out Cold;Brendan Malloy;89;Lee Majors;Jason London;Thomas Lennon;Comedy;11000000;14700000;2001
Mondays in the Sun;Fernando León de Aranoa;113;Luis Tosar;Enrique Villén;Aida Folch;Comedy;4000000;5000000;2002
Osmosis Jones;Bobby Farrelly;95;Ron Howard;Brandy Norwood;David Hyde Pierce;Action;70000000;14000000;2001
Snitch;Ric Roman Waugh;112;Dwayne Johnson;Harold Perrineau;Nadine Velazquez;Action;15000000;57000000;2013
The Sisterhood of Night;Caryn Waechter;104;Laura Fraser;Kara Hayward;Louis Ozawa Changchien;Drama;1000000;6300000;2014
