Movie;Director;Running time;Actor 1;Actor 2;Actor 3;Genre;Budget;Box Office;Release year
Fifty Shades of Black;Michael Tiddes;92;Fred Willard;Mike Epps;Russell Peters;Comedy;5000000;13000000;2016
Two Weeks Notice;Marc Lawrence;101;Dorian Missick;Alicia Witt;Dana Ivey;Comedy;60000000;200000000;2002
My Dog Skip;Jay Russell;95;Clint Howard;Frankie Muniz;Cody Linley;Drama;5000000;34300000;2000
Rio 2;Carlos Saldanha;101;Miguel Ferrer;Rachel Crow;Jeffrey Garcia;Animation;103000000;500000000;2014
The Crocodile Hunter: Collision Course;John Stainton;90;Steve Irwin;Aden Young;Steve Bastoni;Action;13000000;33000000;2002
Abduction;John Singleton;106;Ken Arnold;Benjamin J. Cain Jr.;Richard Cetrone;Action;35000000;50000000;2011
Finding Neverland;Marc Forster;101;Johnny Depp;Kate Winslet;Kelly Macdonald;Biography;25000000;116000000;2004
Going the Distance;Nanette Burstein;102;Rob Riggle;Kelli Garner;Jim Gaffigan;Comedy;32000000;20000000;2010
Samsara;Ron Fricke;102;Collin Alfredo St. Dic;Balinese Tari Legong Dancers;Puti Sri Candra Dewi;Documentary;4000000;1800000;2011
Sinbad: Legend of the Seven Seas;Patrick Gilmore;85;Brad Pitt;Adriano Giannini;Timothy West;Animation;60000000;80000000;2003
The Jungle Book;Jon Favreau;106;Scarlett Johansson;Bill Murray;Garry Shandling;Adventure;175000000;967000000;2016
Heaven Is for Real;Randall Wallace;99;Jacob Vargas;Connor Corum;Rob Moran;Biography;12000000;101000000;2014
The Wackness;Jonathan Levine;99;Mary-Kate Olsen;Aaron Yoo;Method Man;Comedy;6000000;2800000;2008
Warm Bodies;Jonathan Levine;98;Cory Hardrict;Vincent Leclerc;Daniel Rindress-Kay;Comedy;35000000;117000000;2013
127 Hours;Danny Boyle;94;James Franco;Treat Williams;Kate Burton;Biography;18000000;61000000;2010
Devil's Due;Matt Bettinelli-Olpin;89;Zach Gilford;Allison Miller;Vanessa Ray;Horror;7000000;36000000;2014
Reign of Fire;Rob Bowman;101;Christian Bale;Gerard Butler;Matthew McConaughey;Action;60000000;80000000;2002
Robots;Chris Wedge;91;Jim Broadbent;Drew Carey;Paula Abdul;Animation;75000000;260000000;2005
Zathura: A Space Adventure;Jon Favreau;101;Kristen Stewart;Josh Hutcherson;Jonah Bobo;Action;65000000;64000000;2005
Smokin' Aces;Joe Carnahan;109;Ryan Reynolds;Common;Alex Rocco;Action;17000000;57000000;2006
Sweet November;Pat O'Connor;119;Keanu Reeves;Charlize Theron;Frank Langella;Drama;40000000;67000000;2001
Winnie the Pooh;Stephen J. Anderson;63;Craig Ferguson;Robert Lopez;Huell Howser;Animation;30000000;72000000;2011
Florence Foster Jenkins;Stephen Frears;110;Meryl Streep;Nina Arianda;John Sessions;Biography;29000000;44000000;2016
Land of the Lost;Brad Silberling;102;Will Ferrell;Anna Friel;Bobb'e J. Thompson;Adventure;100000000;69000000;2009
Year One;Harold Ramis;100;Olivia Wilde;Oliver Platt;Xander Berkeley;Adventure;60000000;60000000;2009
See Spot Run;John Whitesell;94;Leslie Bibb;Angus T. Jones;Paul Sorvino;Action;35000000;37000000;2001
Snakes on a Plane;David R. Ellis;105;Lin Shaye;Kenan Thompson;Rachel Blanchard;Action;33000000;62000000;2006
Blades of Glory;Josh Gordon;93;Will Ferrell;Amy Poehler;Jon Heder;Comedy;61000000;146000000;2007
Theresa Is a Mother;C. Fraser Press;105;Elaine Bromka;Robert Turano;Matthew Gumley;Comedy;200000;1700000;2012
The Ides of March;George Clooney;101;Ryan Gosling;Philip Seymour Hoffman;Jennifer Ehle;Drama;12500000;41000000;2011
RED 2;Dean Parisot;116;Bruce Willis;Anthony Hopkins;Garrick Hagon;Action;84000000;148000000;2013
Georgia Rule;Garry Marshall;113;Hector Elizondo;Zachary Gordon;Jane Fonda;Comedy;20000000;41000000;2007
Get Carter;Stephen Kay;102;Sylvester Stallone;Miranda Richardson;Lauren Lee Smith;Action;40000000;19400000;2000
The Eye;David Moreau;92;Chloë Grace Moretz;Alessandro Nivola;Obba Babatundé;Horror;12000000;56000000;2008
15 Minutes;John Herzfeld;120;Robert De Niro;Charlize Theron;Kelsey Grammer;Action;42000000;101000000;2001
Fiza;Khalid Mohamed;167;Karisma Kapoor;Manoj Bajpayee;Jaya Bhaduri;Drama;1000000;26300000;2000
Nanny McPhee;Kirk Jones;97;Colin Firth;Kelly Macdonald;Imelda Staunton;Comedy;25000000;122000000;2005
Youth in Revolt;Miguel Arteta;90;Steve Buscemi;Ari Graynor;Fred Willard;Comedy;18000000;19300000;2009
Made;Jon Favreau;95;Jon Favreau;Faizon Love;Jonathan Silverman;Comedy;5000000;5400000;2001
Priest;Scott Stewart;87;Josh Wingate;Alan Dale;Jacob Hopkins;Action;60000000;30000000;2011
The 33;Patricia Riggen;127;Marco Treviño;James Brolin;Jacob Vargas;Biography;26000000;26000000;2015
U-571;Jonathan Mostow;116;Matthew McConaughey;Thomas Kretschmann;David Keith;Action;62000000;130000000;2000
Endless Love;Shana Feste;104;Alex Pettyfer;Bruce Greenwood;Rhys Wakefield;Drama;20000000;23000000;2014
Married Life;Ira Sachs;91;David Richmond-Peck;Erin Boyes;Timothy Webber;Crime;12000000;3000000;2007
One Direction: This Is Us;Morgan Spurlock;106;Harry Styles;Zayn Malik;Niall Horan;Documentary;10000000;73000000;2013
Red Eye;Wes Craven;85;Robert Pine;Carl Gilliard;Suzie Plakson;Thriller;26000000;95000000;2005
The Iceman;Ariel Vromen;106;Chris Evans;James Franco;Robert Davi;Biography;10000000;3000000;2012
Hedwig and the Angry Inch;John Cameron Mitchell;95;John Cameron Mitchell;Miriam Shor;Andrea Martin;Comedy;6000000;3000000;2001
Goosebumps;Rob Letterman;103;Odeya Rush;Dylan Minnette;Ken Marino;Adventure;58000000;158000000;2015
The Avengers;Joss Whedon;173;Chris Hemsworth;Robert Downey Jr.;Scarlett Johansson;Action;220000000;1519000000;2012
The SpongeBob Movie: Sponge Out of Water;Paul Tibbitt;92;Tim Conway;Billy West;Eddie Deezen;Animation;74000000;325000000;2015
This Is Where I Leave You;Shawn Levy;103;Tina Fey;Abigail Spencer;Jane Fonda;Comedy;19800000;41000000;2014
Valiant;Gary Chapman;76;Jim Broadbent;Olivia Williams;Pip Torrens;Animation;35000000;37000000;2005
The Lazarus Effect;David Gelb;83;Olivia Wilde;Mark Duplass;Donald Glover;Horror;3300000;38000000;2015
The Perfect Game;William Dear;118;Clifton Collins Jr.;Cheech Marin;Bruce McGill;Comedy;12500000;4000000;2009
We Own the Night;James Gray;117;Robert Duvall;Oleg Taktarov;Antoni Corone;Crime;21000000;54500000;2007
Good Night and Good Luck.;George Clooney;93;Robert Downey Jr.;Tate Donovan;Alex Borstein;Biography;7500000;54000000;2005
The Hunger Games: Mockingjay - Part 1;Francis Lawrence;123;Jennifer Lawrence;Philip Seymour Hoffman;Josh Hutcherson;Adventure;125000000;755000000;2014
The Last Airbender;M. Night Shyamalan;103;Seychelle Gabriel;Noah Ringer;Aasif Mandvi;Action;150000000;319000000;2010
42;Brian Helgeland;128;Harrison Ford;Christopher Meloni;Nicole Beharie;Biography;40000000;97000000;2013
Stonewall;Roland Emmerich;129;Jeremy Irvine;Caleb Landry Jones;Matt Craven;Drama;13500000;190000;2015
The Broken Hearts Club: A Romantic Comedy;Greg Berlanti;94;Justin Theroux;Nia Long;Mary McCormack;Comedy;1000000;2100000;2000
Valentine's Day;Garry Marshall;125;Bradley Cooper;Taylor Lautner;Anne Hathaway;Comedy;52000000;216000000;2010
Dickie Roberts: Former Child Star;Sam Weisman;98;Kevin Grevioux;Jenna Boyd;Mary McCormack;Comedy;17000000;23000000;2003
Tusk;Kevin Smith;102;Johnny Depp;Haley Joel Osment;Michael Parks;Comedy;3000000;1840000;2014
Dear John;Lasse Hallström;108;Channing Tatum;Henry Thomas;Scott Porter;Drama;25000000;114000000;2010
DOA: Dead or Alive;Corey Yuen;87;Steve Howey;Holly Valance;Sarah Carter;Action;21000000;7500000;2006
The Expendables 3;Patrick Hughes;131;Jason Statham;Sylvester Stallone;Harrison Ford;Action;90000000;215000000;2014
Born of War;Vicky Jewson;109;James Frain;Sofia Black-D'Elia;Lisa Kay;Action;5000000;5000000;2014
Red Tails;Anthony Hemingway;125;David Oyelowo;Nate Parker;Tristan Mack Wilds;Action;58000000;49000000;2012
Stone;John Curran;105;Robert De Niro;Milla Jovovich;Frances Conroy;Thriller;22000000;8900000;2010
The Devil Inside;William Brent Bell;83;Fernanda Andrade;Claudiu Trandafir;Brian Johnson;Horror;1000000;53000000;2012
Gulliver's Travels;Rob Letterman;85;James Corden;Catherine Tate;Olly Alexander;Adventure;112000000;237000000;2010
The Best Exotic Marigold Hotel;John Madden;124;Tom Wilkinson;Penelope Wilton;Celia Imrie;Comedy;10000000;136000000;2011
The Tigger Movie;Jun Falkenstein;77;Kath Soucie;John Fiedler;Ken Sansom;Animation;30000000;96200000;2000
Hobo with a Shotgun;Jason Eisener;86;Gregory Smith;Robb Wells;Molly Dunsworth;Action;3000000;748000;2011
Spectre;Sam Mendes;148;Christoph Waltz;Rory Kinnear;Stephanie Sigman;Action;245000000;880000000;2015
Foodfight!;Lawrence Kasanoff;91;Jerry Stiller;Larry Miller;Harvey Fierstein;Animation;65000000;73000;2012
Sorority Boys;Wallace Wolodarsky;93;Heather Matarazzo;Barry Watson;Harland Williams;Comedy;12000000;12000000;2002
Town & Country;Peter Chelsom;104;Del Zamora;Warren Beatty;Garry Shandling;Comedy;90000000;10300000;2001
Jack Reacher;Christopher McQuarrie;130;Tom Cruise;Robert Duvall;David Oyelowo;Action;60000000;218000000;2012
The Baader Meinhof Complex;Uli Edel;184;Moritz Bleibtreu;Alexandra Maria Lara;Martina Gedeck;Action;20000000;9000000;2008
Did You Hear About the Morgans?;Marc Lawrence;103;Michael Kelly;Kim Shaw;Kevin Brown;Comedy;58000000;34000000;2009
Men with Brooms;Paul Gross;102;Molly Parker;Paul Gross;Kari Matchett;Comedy;7500000;4100000;2002
Terminator Genisys;Alan Taylor;126;J.K. Simmons;Emilia Clarke;Matt Smith;Action;155000000;441000000;2015
Arthur Christmas;Sarah Smith;97;Jim Broadbent;Imelda Staunton;Michael Palin;Animation;100000000;148000000;2011
Sideways;Alexander Payne;126;Virginia Madsen;Patrick Gallagher;M.C. Gainey;Adventure;12000000;160000000;2004
Changeling;Clint Eastwood;141;Angelina Jolie;Michael Kelly;Colm Feore;Crime;55000000;115000000;2008
Eulogy;Michael Clancy;85;Zooey Deschanel;Rip Torn;Kelly Preston;Comedy;6500000;49000000;2004
Bad Lieutenant: Port of Call New Orleans;Werner Herzog;122;Nicolas Cage;Shea Whigham;Shawn Hatosy;Crime;25000000;10000000;2009
Drowning Mona;Nick Gomez;96;Will Ferrell;Jamie Lee Curtis;Tracey Walter;Comedy;16000000;16000000;2000
Monster-in-Law;Robert Luketic;101;Adam Scott;Jane Fonda;Elaine Stritch;Comedy;60000000;155000000;2005
Let's Be Cops;Luke Greenfield;104;Rob Riggle;Damon Wayans Jr.;James D'Arcy;Comedy;17000000;138000000;2014
Wonder Boys;Curtis Hanson;107;Robert Downey Jr.;Rip Torn;Richard Thomas;Comedy;55000000;15500000;2000
Blood Ties;Guillaume Canet;144;Mila Kunis;Lili Taylor;Billy Crudup;Crime;25500000;2600000;2013
Idlewild;Bryan Barber;121;Cicely Tyson;Faizon Love;Bobb'e J. Thompson;Crime;15000000;12000000;2006
Dead Man's Shoes;Shane Meadows;90;Paddy Considine;Gary Stretch;George Newton;Crime;695393;6000000;2004
9;Shane Acker;79;Martin Landau;Alan Oppenheimer;Tom Kane;Action;30000000;37000000;2009
A Better Life;Chris Weitz;98;Demián Bichir;Eddie 'Piolin' Sotelo;Robert Peters;Drama;10000000;1900000;2011
Donkey Punch;Oliver Blackburn;99;Julian Morris;Nichola Burley;Tom Burke;Crime;900000;1200000;2008
Escobar: Paradise Lost;Andrea Di Stefano;120;Josh Hutcherson;Brady Corbet;Carlos Bardem;Crime;17000000;4000000;2014
The Ballad of Jack and Rose;Rebecca Miller;112;Beau Bridges;Susanna Thompson;Ryan McDonald;Drama;1500000;1000000;2005
Before Sunset;Richard Linklater;80;Vernon Dobtcheff;Albert Delpy;Marie Pillet;Drama;2700000;16000000;2004
Gosford Park;Robert Altman;131;Kristin Scott Thomas;Bob Balaban;Tom Hollander;Drama;19800000;87000000;2001
Zoom;Peter Hewitt;83;Kevin Zegers;Rip Torn;Thomas F. Wilson;Action;35000000;12000000;2006
Shark Lake;Jerry Dugan;92;Melissa Bolona;Michael Aaron Milligan;James Chalke;Thriller;2000000;1500000;2015
Daddy Day Camp;Fred Savage;89;Lochlyn Munro;Brian Doyle-Murray;Tamala Jones;Comedy;6000000;18000000;2007
Invictus;Clint Eastwood;134;Matt Damon;Morgan Freeman;Leleti Khumalo;Biography;60000000;122000000;2009
About a Boy;Chris Weitz;101;Sharon Small;Christopher Webster;Peter McNicholl;Comedy;30000000;130000000;2002
Aliens in the Attic;John Schultz;86;Malese Jow;Carter Jenkins;Tim Meadows;Adventure;45000000;58000000;2009
Jonah: A VeggieTales Movie;Mike Nawrocki;82;Phil Vischer;Mike Nawrocki;Shelby Vischer;Animation;14000000;25000000;2002
The Brown Bunny;Vincent Gallo;93;Vincent Gallo;Cheryl Tiegs;Anna Vareschi;Drama;10000000;3000000;2003
Choke;Clark Gregg;92;Anjelica Huston;Matt Gerald;Jonah Bobo;Comedy;3000000;2900000;2008
Chronicle;Josh Trank;89;Michael Kelly;Alex Russell;Ashley Hinshaw;Sci-Fi;12000000;125000000;2012
Free Birds;Jimmy Hayward;91;Amy Poehler;Carlos Ponce;Dan Fogler;Animation;55000000;110000000;2013
Notes on a Scandal;Richard Eyre;92;Phil Davis;Andrew Simpson;Shaun Parkes;Crime;15000000;50000000;2006
Small Apartments;Jonas Ã…kerlund;96;Noel Gugliemi;Saffron Burrows;Matt Lucas;Comedy;2000000;4800000;2012
The Theory of Everything;James Marsh;123;Eddie Redmayne;Emily Watson;Simon McBurney;Biography;15000000;123000000;2014
Albert Nobbs;Rodrigo García;113;Mia Wasikowska;Michael McElhatton;Mark Williams;Drama;8000000;5700000;2011
Non-Stop;Jaume Collet-Serra;106;Liam Neeson;Nate Parker;Scoot McNairy;Action;50000000;222000000;2014
P.S. I Love You;Richard LaGravenese;126;Gerard Butler;Harry Connick Jr.;Nellie McKay;Drama;30000000;156000000;2007
Ted 2;Seth MacFarlane;125;Liam Neeson;Morgan Freeman;Seth MacFarlane;Comedy;68000000;214000000;2015
The Campaign;Jay Roach;85;Will Ferrell;Thomas Middleditch;Katherine LaNasa;Comedy;95000000;104000000;2012
Under the Tuscan Sun;Audrey Wells;113;Raoul Bova;Lindsay Duncan;Mario Monicelli;Comedy;18000000;58000000;2003
Top Spin;Sara Newens;80;Ariel Hsing;Xinhua Jiang;Michael Landers;Documentary;150000;2500000;2014
Young Adult;Jason Reitman;94;Charlize Theron;Patton Oswalt;Collette Wolfe;Comedy;12000000;22800000;2011
25th Hour;Spike Lee;108;Philip Seymour Hoffman;Rosario Dawson;Aaron Stanford;Drama;15000000;24000000;2002
Old School;Todd Phillips;88;Will Ferrell;Leah Remini;Patrick Fischler;Comedy;24000000;87000000;2003
The Blue Butterfly;Léa Pool;97;William Hurt;Marc Donato;Raoul Max Trujillo;Adventure;12500000;310000;2004
The Outrageous Sophie Tucker;William Gazecki;96;Carol Channing;Bruce Vilanch;Tony Bennett;Documentary;500000;1000000;2014
Not Another Teen Movie;Joel Gallen;99;Chris Evans;JoAnna Garcia Swisher;Mia Kirshner;Comedy;16000000;66000000;2001
A Very Harold & Kumar 3D Christmas;Todd Strauss-Schulson;90;Patton Oswalt;Thomas Lennon;Paula Garcés;Adventure;19000000;36000000;2011
Eagle Eye;D.J. Caruso;118;Rosario Dawson;Ethan Embry;Cameron Boyce;Action;80000000;178000000;2008
Harold & Kumar Escape from Guantanamo Bay;Jon Hurwitz;102;Danneel Ackles;Eric Winter;Beverly D'Angelo;Adventure;12000000;43900000;2008
Once in a Lifetime: The Extraordinary Story of the New York Cosmos;Paul Crowder;97;Pelé;Marv Albert;Ahmet Ertegun;Documentary;1000000;200000;2006
Saved!;Brian Dannelly;92;Macaulay Culkin;Patrick Fugit;Eva Amurri Martino;Comedy;5000000;9000000;2004
Soul Survivors;Stephen Carpenter;84;Melissa Sagemiller;Angela Featherstone;Candace Kroslak;Thriller;14000000;4000000;2001
Time to Choose;Charles Ferguson;100;Jane Goodall;Jerry Brown;Peter Agnefjall;Documentary;3500000;700000;2015
Ender's Game;Gavin Hood;114;Harrison Ford;Moises Arias;Aramis Knight;Sci-Fi;110000000;125000000;2013
Monster's Ball;Marc Forster;112;Heath Ledger;Peter Boyle;Marcus Lyle Brown;Drama;4000000;45000000;2001
Night at the Museum: Secret of the Tomb;Shawn Levy;98;Robin Williams;Rami Malek;Steve Coogan;Adventure;127000000;364000000;2014
The Last House on the Left;Dennis Iliadis;114;Tony Goldwyn;Monica Potter;Martha MacIsaac;Crime;15000000;4500000;2009
Bad Company;Joel Schumacher;116;Anthony Hopkins;Brooke Smith;Garcelle Beauvais;Action;70000000;66000000;2002
Just Go with It;Dennis Dugan;117;Adam Sandler;Bailee Madison;Kevin Nealon;Comedy;80000000;215000000;2011
Kung Fu Panda 3;Alessandro Carloni;95;J.K. Simmons;Angelina Jolie;Wayne Knight;Action;145000000;521000000;2016
The Score;Frank Oz;124;Robert De Niro;Marlon Brando;Gary Farmer;Crime;68000000;113000000;2001
American Dreamz;Paul Weitz;107;Judy Greer;Dennis Quaid;Chris Klein;Comedy;19000000;16000000;2006
Antwone Fisher;Denzel Washington;117;Denzel Washington;Kevin Connolly;Derek Luke;Biography;12500000;23000000;2002
The Great Debaters;Denzel Washington;126;Denzel Washington;Jurnee Smollett-Bell;John Heard;Biography;15000000;30000000;2007
Underworld: Awakening;Måns Mårlind;88;Theo James;Stephen Rea;Sandrine Holt;Action;70000000;160000000;2012
Detention;Joseph Kahn;93;Josh Hutcherson;Shanley Caswell;Parker Bagley;Comedy;10000000;530000;2011
Khumba;Anthony Silverston;85;Liam Neeson;Steve Buscemi;Loretta Devine;Animation;20000000;28000000;2013
Runner Runner;Brad Furman;88;Justin Timberlake;John Heard;David Costabile;Crime;30000000;62000000;2013
Happy Feet 2;George Miller;100;Robin Williams;Brad Pitt;Common;Animation;135000000;150000000;2011
Final Destination;James Wong;98;Daniel Roebuck;Brendan Fehr;Kerr Smith;Horror;23000000;112000000;2000
Screwed;Scott Alexander;81;Sarah Silverman;Dave Chappelle;Sherman Hemsley;Comedy;10000000;7000000;2000
This Is 40;Judd Apatow;134;Charlyne Yi;Maude Apatow;Mackenzie Aladjem;Comedy;35000000;88000000;2012
Ocean's Thirteen;Steven Soderbergh;122;Al Pacino;Matt Damon;Brad Pitt;Crime;85000000;311000000;2007
Signs;M. Night Shyamalan;106;Rory Culkin;Merritt Wever;Cherry Jones;Sci-Fi;72000000;408000000;2002
The Box;Richard Kelly;115;Frank Langella;Gillian Jacobs;Celia Weston;Drama;16000000;15000000;2009
Ernest & Celestine;Stéphane Aubier;80;Mackenzie Foy;Megan Mullally;Lambert Wilson;Animation;9600000;9000000;2012
Lucky Numbers;Nora Ephron;105;Michael Rapaport;Michael Moore;Richard Schiff;Comedy;65000000;45000000;2000
Dr. Dolittle 2;Steve Carr;87;Raven-Symoné;Jeffrey Jones;Kevin Pollak;Comedy;72000000;176000000;2001
The Color of Freedom;Bille August;118;Terry Pheto;Patrick Lyster;Tyrone Keogh;Biography;30000000;30000000;2007
Final Destination 2;David R. Ellis;90;Sarah Carter;Michael Landes;Keegan Connor Tracy;Horror;26000000;90000000;2003
Hercules;Brett Ratner;101;Dwayne Johnson;Rufus Sewell;Ingrid Bolsø Berdal;Action;100000000;244000000;2014
Pound of Flesh;Ernie Barbarash;104;Darren Shahlavi;Aki Aleong;Brahim Achabbakhe;Action;7500000;1000000;2015
The Book of Life;Jorge R. Gutiérrez;95;Channing Tatum;Hector Elizondo;Ana de la Reguera;Animation;50000000;99700000;2014
Top Five;Chris Rock;102;Rosario Dawson;Romany Malco;J.B. Smoove;Comedy;12000000;26000000;2014
City of Ember;Gil Kenan;90;Bill Murray;Toby Jones;Harry Treadaway;Adventure;55000000;17900000;2008
Control;Anton Corbijn;122;Sam Riley;Samantha Morton;Alexandra Maria Lara;Biography;6400000;9000000;2007
Crocodile Dundee in Los Angeles;Simon Wincer;92;Jere Burns;Paul Hogan;Linda Kozlowski;Adventure;21150000;39000000;2001
Despicable Me;Pierre Coffin;87;Steve Carell;Miranda Cosgrove;Jack McBrayer;Animation;69000000;543000000;2010
For a Good Time Call...;Jamie Travis;88;James Wolk;Ari Graynor;Nia Vardalos;Comedy;850000;14600000;2012
Marley & Me;David Frankel;115;Eric Dane;Kathleen Turner;Haley Bennett;Comedy;60000000;242000000;2008
What Women Want;Nancy Meyers;127;Judy Greer;Lisa Edelstein;Loretta Devine;Comedy;70000000;182000000;2000
After Earth;M. Night Shyamalan;100;Will Smith;Zoë Kravitz;Glenn Morshower;Action;130000000;244000000;2013
Atlantis: The Lost Empire;Gary Trousdale;95;Leonard Nimoy;Jim Varney;Cree Summer;Action;120000000;186000000;2001
The Day the Earth Stood Still;Scott Derrickson;104;Keanu Reeves;Jon Hamm;Juan Riedinger;Sci-Fi;80000000;232000000;2008
I Want Someone to Eat Cheese With;Jeff Garlin;80;Jessy Schram;Jeff Garlin;Joey Slotnick;Comedy;1500000;3000000;2006
Maleficent;Robert Stromberg;97;Angelina Jolie;Sharlto Copley;Sam Riley;Action;180000000;758000000;2014
National Treasure;Jon Turteltaub;131;Nicolas Cage;Armando Riesco;Annie Parisse;Action;100000000;347000000;2004
Pete's Dragon;David Lowery;102;Bryce Dallas Howard;Oona Laurence;Isiah Whitlock Jr.;Adventure;65000000;143000000;2016
Rat Race;Jerry Zucker;112;Corinna Harney;Douglas Haase;Vince Vieluf;Adventure;48000000;85600000;2001
The Counselor;Ridley Scott;138;Michael Fassbender;Brad Pitt;Goran Visnjic;Crime;25000000;63000000;2013
God's Not Dead 2;Harold Cronk;120;Benjamin A. Onyango;Robin Givens;Maria Canals-Barrera;Drama;5000000;24000000;2016
Old Dogs;Walt Becker;88;Robin Williams;Bernie Mac;Ann-Margret;Comedy;35000000;96000000;2009
Original Sin;Michael Cristofer;118;Angelina Jolie;Gregory Itzin;Jack Thompson;Drama;42000000;36700000;2001
Slow Burn;Wayne Beach;93;Mekhi Phifer;LL Cool J;Fisher Stevens;Drama;15500000;6000000;2005
Toy Story 3;Lee Unkrich;103;Tom Hanks;John Ratzenberger;Don Rickles;Animation;200000000;500000000;2010
Vanity Fair;Mira Nair;141;Romola Garai;Roger Lloyd Pack;Lillete Dubey;Drama;23000000;26000000;2004
Black or White;Mike Binder;121;Jennifer Ehle;Gillian Jacobs;Jillian Estell;Drama;9000000;21600000;2014
American Wedding;Jesse Dylan;74;Alyson Hannigan;Thomas Ian Nicholas;Fred Willard;Comedy;55000000;231000000;2003
Teenage Mutant Ninja Turtles: Out of the Shadows;Dave Green;112;Stephen Amell;Noel Fisher;Brad Garrett;Action;135000000;245000000;2016
The Flowers of War;Yimou Zhang;146;Christian Bale;Ni Ni;Shigeo Kobayashi;Drama;94000000;94000000;2011
V for Vendetta;James McTeigue;132;Natalie Portman;Eddie Marsan;Rupert Graves;Action;54000000;132000000;2005
Amigo;John Sayles;124;Brian Lee Franklin;John Arcilla;Ronnie Lazaro;Drama;1700000;5200000;2010
High Tension;Alexandre Aja;89;Cécile De France;Maïwenn;Oana Pellea;Horror;2200000;8000000;2003
I Love You Beth Cooper;Chris Columbus;102;Alan Ruck;Marie Avgeropoulos;Shawn Roberts;Comedy;18000000;15000000;2009
Moulin Rouge!;Baz Luhrmann;127;Jim Broadbent;Kylie Minogue;Richard Roxburgh;Drama;52500000;179000000;2001
Waiting...;Rob McKittrick;94;Ryan Reynolds;Dane Cook;Vanessa Lengies;Comedy;3000000;18000000;2005
How the Grinch Stole Christmas;Ron Howard;110;Clint Howard;T.J. Thyne;Molly Shannon;Comedy;123000000;345000000;2000
The Interview;Evan Goldberg;112;James Franco;Randall Park;Anders Holm;Comedy;44000000;118000000;2014
Another Year;Mike Leigh;129;Jim Broadbent;Imelda Staunton;Phil Davis;Comedy;10000000;18700000;2010
The Last Samurai;Edward Zwick;154;Tom Cruise;Tony Goldwyn;Chad Lindberg;Action;140000000;456000000;2003
The Longest Yard;Peter Segal;113;Adam Sandler;Steve Reevis;Dalip Singh;Comedy;82000000;190000000;2005
Treading Water;Analeine Cal y Mayor;92;Zoë Kravitz;Douglas Smith;Kim Ly;Comedy;4700000;1000000;2013
Bruce Almighty;Tom Shadyac;101;Morgan Freeman;Steve Carell;Lisa Ann Walter;Comedy;81000000;484000000;2003
Star Wars: Episode III - Revenge of the Sith;George Lucas;140;Natalie Portman;Christopher Lee;Hayden Christensen;Action;113000000;848000000;2005
Charlie's Angels: Full Throttle;McG;107;Demi Moore;Bernie Mac;Justin Theroux;Action;120000000;259000000;2003
Clockstoppers;Jonathan Frakes;94;Michael Biehn;Paula Garcés;Jason George;Action;26000000;38700000;2002
Marci X;Richard Benjamin;80;Damon Wayans;Jane Krakowski;Paula Garcés;Comedy;20000000;1000000;2003
Running Scared;Wayne Kramer;122;Paul Walker;Chazz Palminteri;Ivana Milicevic;Action;17000000;19000000;2006
Divine Secrets of the Ya-Ya Sisterhood;Callie Khouri;116;Ellen Burstyn;Fionnula Flanagan;Matthew Settle;Drama;27000000;73000000;2002
Dragon Wars: D-War;Hyung-rae Shim;107;Robert Forster;Aimee Garcia;Chris Mulkey;Action;32000000;75000000;2007
Hanna;Joe Wright;111;Jessica Barden;Vicky Krieps;John Macmillan;Action;30000000;40000000;2011
Men of Honor;George Tillman Jr.;129;Robert De Niro;Charlize Theron;Michael Rapaport;Biography;32000000;33000000;2000
Money Monster;Jodie Foster;98;Julia Roberts;Jack O'Connell;Chris Bauer;Crime;27000000;93000000;2016
Precious;Lee Daniels;109;Mo'Nique;Gabourey Sidibe;Mariah Carey;Drama;10000000;64000000;2009
Iraq for Sale: The War Profiteers;Robert Greenwald;75;Scott Helvenston;Katy Helvenston-Wettengal;Donna Zovko;Documentary;750000;2000000;2006
Poolhall Junkies;Mars Callahan;99;Chazz Palminteri;Ricky Schroder;Ernie Reyes Jr.;Thriller;4000000;1000000;2002
Aqua Teen Hunger Force Colon Movie Film for Theaters;Matt Maiellaro;86;Tina Fey;Fred Armisen;Chris Kattan;Action;750000;5500000;2007
Gangs of New York;Martin Scorsese;216;Leonardo DiCaprio;Liam Neeson;Jim Broadbent;Crime;100000000;194000000;2002
Snow White and the Huntsman;Rupert Sanders;132;Chris Hemsworth;Kristen Stewart;Sam Claflin;Action;170000000;397000000;2012
Down to You;Kris Isacsson;91;Rosario Dawson;Lauren German;Shawn Hatosy;Comedy;9000000;24000000;2000
Remember Me My Love;Gabriele Muccino;125;Laura Morante;Silvio Muccino;Giulia Michelini;Comedy;5000000;7000000;2003
Spider;David Cronenberg;98;Miranda Richardson;John Neville;Lynn Redgrave;Drama;8000000;5000000;2002
Red Sky;Mario Van Peebles;100;Martin Kove;Mario Van Peebles;Jacob Vargas;Action;25000000;2000000;2014
The Amityville Horror;Andrew Douglas;90;Jimmy Bennett;Chloë Grace Moretz;Ryan Reynolds;Thriller;19000000;107000000;2005
Halloween II;Rob Zombie;119;Scout Taylor-Compton;Tyler Mane;Margot Kidder;Horror;15000000;39000000;2009
Slumdog Millionaire;Danny Boyle;120;Anil Kapoor;Saurabh Shukla;Ayush Mahesh Khedekar;Drama;15000000;377000000;2008
